State,gini_index,gun_law_strength,mental health_score,gun_policy_strength,alcohol_related_death_rate,drug_overdose_mortality_rate,domestic_violence_shelters,dv_people_to_shelter,population,dv_spending_per_person,domestic_violence_spending_by_state,unemployment_rate,labor_participation_women_percentage,domestic_violence_percentage,gun_ownership_rates_per_state,firearm_mortality_by_state_2022,school_shootings_by_state_2024,firearm_mortality_rate_children_one_to_nine_years_old,CrimeRate,CrimeViolentRate,CrimeNonViolentRate,IncarcerationRate_Per100kResidents_2022,IncarcerationRate_BlackWhiteDisparity(X_to_1)_2020,IncarcerationRate_YouthCustodyRatePer100kYouths_2021,teen_birth_rate,less_than_hs_diploma_women,HS_Diploma_or_Equivalent_Only_women,Some_College/Associates_Degree_women,Bachelor's_Degree/Higher_women,"2022 Suicide Deaths per 100,000 people (age-adjusted)",2022 Suicide Deaths,poverty_rate_2023,prohibition_for_stalkers,abusers_turn_in_gun_after_conviction,prohibition_for_domestic_abusers,prohibition_for_convicted_domestic_abusers,waiting_period,mental_health_in_background_check,funding_for_violence_intervention,no_purchase_after_violent_offense,age_requirement,mentaI_illness_prohibitor,hate_crime_prohibitor,gun_removal_program,fugitive_from_justice_prohibitor,felony_prohibitor,restraining_order_prohibitor,no_open_carry,no_guns_in_k_through_twelve_schools,no_guns_at_demonstrations,no_guns_on_college_campuses,bar_concealed_carry_by_people_with_violent_misdemeanors,high_capacity_magazines_prohibited,dealer_lisence_required,asault_weapons_prohibited,secure_storage_child_access_laws,rejected_shoot_first_laws,red_flag_laws,background_check_or_purchase_permit,concealed_carry_permit_required,extreme_risk_law
Alabama,0.47,weak_systems,60.00,12.00,6.08,31.50,33.00,"146,950.82","4,849,377.00",5.10,"24,732,108.00",3.10,51.30,37.50,55.50,25.50,1.00,11.90,"4,727.07",453.56,"4,273.51",390.00,2.80,130.00,20.90,0.14,0.30,0.32,0.24,16.30,840.00,14.20,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alaska,0.43,national_failures,65.00,9.00,7.83,34.30,26.00,"28,335.85","736,732.00",23.36,"17,209,623.00",4.60,60.80,43.30,64.50,22.40,0.00,NA,"5,358.90",837.85,"4,521.05",205.00,4.70,195.00,16.90,0.08,0.22,0.37,0.33,27.60,200.00,10.10,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arizona,0.47,national_failures,83.00,7.50,6.62,37.20,70.00,"96,164.06","6,731,484.00",9.27,"62,416,238.00",3.70,55.70,42.60,46.30,20.10,0.00,6.00,"4,940.12",484.81,"4,455.30",446.00,4.90,46.00,15.10,0.14,0.25,0.34,0.27,20.60,"1,603.00",11.90,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arkansas,0.46,national_failures,91.00,4.50,6.08,21.70,39.00,"76,060.74","2,966,369.00",74.65,"221,438,169.00",3.30,53.10,40.80,57.20,21.90,0.00,9.00,"5,898.75",671.93,"5,226.82",574.00,3.50,90.00,24.60,0.15,0.34,0.30,0.21,18.00,547.00,13.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
California,0.50,national_leader,60.00,90.50,5.04,26.90,171.00,"226,915.20","38,802,500.00",5.59,"216,864,463.00",5.40,55.30,34.90,28.30,8.60,3.00,3.10,"4,719.90",442.05,"4,277.85",250.00,9.20,58.00,9.80,0.18,0.21,0.31,0.31,10.40,"4,312.00",11.90,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Colorado,0.46,making_progress,71.00,67.50,5.82,29.80,61.00,"87,801.08","5,355,866.00",4.63,"24,804,754.00",4.30,63.20,36.80,45.10,17.10,0.00,6.20,"6,090.76",423.06,"5,667.70",288.00,6.60,78.00,11.10,0.09,0.22,0.32,0.38,21.10,"1,293.00",8.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Connecticut,0.48,national_leader,41.00,81.50,4.97,40.30,21.00,"171,270.33","3,596,677.00",5.19,"18,681,219.00",3.00,60.60,37.70,23.60,6.90,0.00,2.80,"3,311.75",181.59,"3,130.16",170.00,9.40,18.00,6.40,0.10,0.27,0.26,0.37,10.60,398.00,8.30,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Delaware,0.43,making_progress,30.00,65.00,5.95,55.30,8.00,"116,951.75","935,614.00",0.66,"619,931.00",3.90,57.00,37.60,34.40,11.90,0.00,NA,"4,354.64",431.90,"3,922.75",272.00,5.30,138.00,14.70,0.12,0.30,0.29,0.29,11.40,130.00,7.80,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
District of Columbia,,,56.00,,5.16,64.30,16.00,"41,180.81","658,893.00",27.02,"17,806,105.00",5.60,66.50,NA,NA,21.40,1.00,NA,"7,985.93",999.84,"6,986.10",,,,12.50,0.10,0.19,0.18,0.54,6.10,44.00,12.70,0.00,0.00,1.00,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
Florida,0.47,missing_key_laws,66.00,28.00,6.16,35.20,62.00,"320,859.63","19,893,297.00",2.61,"51,923,188.00",3.40,54.50,37.90,35.30,14.00,2.00,5.00,"3,922.46",383.60,"3,538.86",377.00,4.10,61.00,13.10,0.13,0.30,0.31,0.27,14.10,"3,446.00",11.60,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00
