Countries,num_prep_initiations_current,usa_funds_pepfar_2022,Population,Region,Year
Afghanistan,0,,"40,121,552",South Asia,
Albania,0,,"3,107,100",Europe,
Algeria,0,,"47,022,473",Africa,
Angola,0,1,"37,202,061",Africa,2007
Argentina,"3,927",,"46,994,384",South America,
Armenia,77,,"2,976,765",Middle East,
Australia,"80,254",,"26,768,598",Australia and Oceania,
Austria,757,,"8,967,982",Europe,
Azerbaijan,100,,"10,650,239",Middle East,
Bahamas,138,,"410,862",Central America and the Caribbean,
Bahrain,0,,"1,566,888",Middle East,
Bangladesh,206,,"168,697,184",South Asia,
Barbados,0,,"304,139",Central America and the Caribbean,
Belarus,236,,"9,501,451",Europe,
Belgium,"6,934",,"11,977,634",Europe,
Belize,68,,"415,789",Central America and the Caribbean,
Benin,"3,087",1,"14,697,052",Africa,2010
Bhutan,0,,"884,546",South Asia,
Bolivia,0,,"12,311,974",South America,
Bosnia and Herzegovina,,,"3,798,671",Europe,
Botswana,"47,422",1,"2,450,668",Africa,2004
Brazil,"217,683",1,"220,051,512",South America,2010
Brunei Darussalam,1,,"491,900",East and Southeast Asia,
Bulgaria,0,,"6,782,659",Europe,
Burkina Faso,"4,064",1,"23,042,199",Africa,2010
Burundi,"10,508",1,"13,590,102",Africa,2007
Cambodia,"8,985",1,"17,063,669",East and Southeast Asia,2005
Cameroon,"17,973",1,"30,966,105",Africa,2007
Canada,"35,000",,"38,794,813",North America,
Cape Verde,0,,"611,014",Africa,
Central African Republic,,,"5,650,957",Africa,
Chad,0,,"19,093,595",Africa,
Chile,"1,893",,"18,664,652",South America,
China,0,,"1,416,043,270",East and Southeast Asia,
Colombia,"6,670",,"49,588,357",South America,
Comoros,0,,"900,141",Africa,
Congo,NA,,,,
Costa Rica,"2,562",,"5,265,575",Central America and the Caribbean,
Cote d'Ivoire,"38,897",1,"29,981,758",Africa,2004
Croatia,550,,"4,150,116",Europe,
Cuba,"1,541",,"10,966,038",Central America and the Caribbean,
Cyprus,29,,"1,320,525",Europe,
Czech Republic,"1,317",,"10,837,890",Europe,
Democratic People Republic of Korea,0,,,,
Democratic Republic of the Congo,"4,746",1,"115,403,027",Africa,2007
Denmark,"69,838",,"5,973,136",Europe,2005
Djibouti,"2,350",,"994,974",Africa,
Dominican Republic,2,1,"10,815,857",Central America and the Caribbean,2005
Ecuador,"1,661",,"18,309,984",South America,
Egypt,0,,"111,247,248",Africa,
El Salvador,,1,"6,628,702",Central America and the Caribbean,2010
Equatorial Guinea,,,"1,795,834",Africa,
Eritrea,29,,"6,343,956",Africa,
Estonia,0,,"1,193,791",Europe,
Eswatini,,1,"1,138,089",Africa,2007
Ethiopia,"66,951",1,"118,550,298",Africa,2004
Fiji,,,"951,611",Australia and Oceania,
Finland,"2,000",,"5,626,414",Europe,
France,"84,997",,"68,374,591",Europe,
Gabon,0,,"2,455,105",Africa,
Gambia,15,,"2,523,327",Africa,
Georgia,"1,858",,"4,900,961",Middle East,
Germany,"40,000",,"84,119,100",Europe,
Ghana,"15,574",1,"34,589,092",Africa,
